37,16201,16255,37
96,13347,2802,96
96,13347,2802,96
96,7248,3583,96
232,14899,7925,232
361,4242,10839,232
361,11936,11936,361
443,8281,16455,739
451,16350,16350,451
465,15635,1797,465
465,9462,7158,1482
574,16356,16201,1303
697,6513,14304,1401
739,12756,11430,739
739,5883,2450,1524
739,13925,9252,739
742,9451,13162,742
742,13162,13162,742
748,6857,6765,748
748,6765,15072,748
758,10914,10914,758
826,7340,7340,826
830,13204,9235,830
851,15883,4218,1153
851,8675,4879,1153
904,13242,13242,904
940,13774,4218,1153
940,2544,8964,851
940,4879,6843,851
976,318,5029,1482
1069,12533,15260,1185
1069,3356,12533,1516
1120,10400,10300,1120
1162,3730,12983,583
1185,9762,6307,1069
1204,12245,8050,1204
1204,11384,8050,1204
1204,9148,1961,1204
1303,2623,2623,1303
1314,1775,16268,1314
1314,1775,5474,1314
1372,9833,4071,1372
1398,7774,7774,1398
1398,8465,16201,574
1401,3401,2912,697
1401,4045,3401,1401
1401,149,149,1401
1411,12273,12273,1411
1419,10524,7278,1421
1421,9313,14415,1421
1430,4250,16460,1430
1486,6843,2902,1153
1489,7681,3487,1018
1489,4397,16476,1489
1489,16476,13466,1489
1516,6352,6152,1516
1516,16409,9762,1185
1524,14698,14698,1524
