115,744,1049,115
115,1937,9,1670
115,1756,106,317
115,4237,9,511
115,2245,45,4991
115,579,142,2907
253,60,1242,273
253,648,177,426
253,563,1131,1716
253,279,596,253
253,3635,1713,115
253,5794,1090,1670
273,5337,118,115
273,909,214,426
273,6287,4,1670
273,29,242,511
273,1038,2,511
317,1704,251,115
317,55,148,1554
317,279,22,253
426,3370,12,317
426,44,581,823
426,371,34,426
426,404,4215,833
426,3589,4,2754
426,3800,129,426
426,117,132,317
426,1788,6,2177
511,32,52,511
511,1077,50,1670
511,1189,166,317
511,1104,1131,1716
511,224,1276,273
511,271,122,511
511,1020,928,426
511,234,509,273
823,2033,1004,511
823,167,14,2177
823,131,59,2907
823,2290,77,273
823,2163,18,426
833,943,351,115
833,2128,243,426
833,171,102,1670
833,2128,86,317
833,261,1473,823
833,1104,19,2907
833,19,244,1067
1067,676,241,1554
1067,1468,1061,2754
1067,531,258,115
1067,6037,6196,6048
1067,3223,53,317
1067,1284,2802,1246
1067,168,104,317
1246,148,11,273
1246,2802,3806,2686
1246,4,502,273
1246,1307,554,273
1246,635,280,2177
1246,607,290,317
1246,510,13,7308
1439,309,1042,1554
1439,762,421,4286
1439,366,10,1464
1439,997,495,115
1439,128,5,1464
1439,366,2276,1246
1439,3402,826,1554
1464,3030,271,426
1464,554,1,115
1464,692,148,1246
1464,10,538,2754
1464,1711,262,2686
1464,950,851,2177
1554,2545,11,823
1554,991,981,511
1554,133,287,115
1554,543,5,1554
1554,2442,16,511
1554,829,29,1716
1554,291,71,511
1670,673,11,1439
1670,843,84,4991
1670,224,57,317
1670,652,323,273
1670,91,1917,4143
1670,512,1357,273
1670,925,207,2754
1716,380,4,1670
1716,1267,1297,2754
1716,278,268,511
1716,3278,3,426
1716,474,387,115
1716,698,1010,115
1716,336,519,273
1716,26,642,115
1935,486,244,833
1935,5101,0,317
1935,46,681,2113
1935,3874,5101,1935
1935,46,97,273
2113,726,137,1670
2113,248,258,115
2113,169,3189,823
2113,4554,122,115
2113,3444,3939,4991
2113,3959,161,317
2113,2184,6,317
2113,1520,197,833
2113,215,5,6180
2177,851,950,1464
2177,1788,78,115
2177,2776,389,115
2177,374,2293,833
2177,3133,41,426
2177,2012,13,1246
2177,349,10,253
2686,5449,5924,2686
2686,21,538,2754
2686,205,606,426
2686,1160,4,4730
2686,818,31,317
2686,3169,31,5481
2686,168,17,253
2686,818,697,115
2686,187,734,426
