24,498,303,174
24,1081,639,42
24,1849,589,225
35,164,534,35
35,2040,869,360
35,4068,606,286
42,2370,705,363
42,152,535,174
46,350,59,148
46,3604,459,187
46,1162,50,373
68,3065,622,102
68,4405,192,68
68,4912,744,24
102,947,2443,68
102,1864,1045,315
102,51,26,116
116,249,613,435
116,4686,51,68
148,1015,559,444
148,3825,3196,355
150,2762,1603,46
174,1722,3545,355
174,1274,881,363
183,3675,18,329
183,1870,929,42
183,4711,103,416
187,1111,528,315
187,1534,4495,46
187,3310,76,363
204,835,1498,46
204,181,244,225
204,2241,1477,68
225,0,1222,398
225,16,3108,373
286,3757,1424,187
292,14,730,68
292,4313,545,330
315,3828,1423,315
319,2618,594,116
319,683,2148,187
329,1668,820,102
329,1299,1309,329
329,5190,299,444
330,166,290,68
330,3657,53,42
355,127,2190,292
355,1293,1093,444
355,489,618,225
360,736,3728,362
362,152,1687,362
362,626,1373,398
363,519,346,292
363,1023,1220,68
363,142,1236,225
373,804,2182,355
373,805,149,360
373,1164,526,329
395,4984,1464,398
395,202,2389,315
395,298,191,373
398,1893,38,416
398,4035,6,225
416,38,1049,35
416,1269,583,35
435,2004,61,362
435,997,3009,362
444,4530,861,150
444,232,254,319
