0,1,2,3
24,2826,2469,286
24,547,1500,435
24,1763,703,42
24,302,66,35
35,411,64,225
35,1235,1078,42
35,5102,70,42
35,346,159,319
35,581,401,42
42,4213,2343,174
42,12,456,416
42,4605,1952,35
42,335,2375,395
42,11,942,148
46,805,2348,286
46,2055,1123,35
46,1706,86,373
46,2237,2513,292
46,4090,1146,187
68,1521,4581,225
68,2352,95,46
68,1981,2526,102
68,1775,853,355
68,2917,95,68
102,3497,1104,68
102,2792,1818,373
102,858,860,187
102,2963,1930,150
102,593,190,42
116,3486,890,225
116,878,321,373
116,721,2441,24
148,2610,513,174
148,140,1358,68
150,1119,1343,416
150,212,526,225
150,3952,92,292
150,38,883,42
174,1693,73,42
174,4780,1135,42
174,535,280,187
174,1592,3918,363
174,914,556,360
183,2749,2949,68
183,1107,1544,292
183,3208,671,444
183,2749,3322,68
183,1008,588,225
187,4237,311,35
187,3155,53,174
204,176,1844,46
204,746,1013,355
204,4206,3,116
204,1376,1840,102
204,107,56,395
225,44,1076,42
225,4,331,373
286,581,259,292
286,1661,5014,42
286,169,3402,444
292,554,4433,187
292,13,1549,373
292,1162,954,46
315,680,2168,46
315,3273,1088,315
315,451,244,187
315,4203,3353,315
319,1410,1348,416
319,2422,239,435
319,1155,1413,174
329,2896,879,329
329,1024,1829,68
330,1826,1520,150
330,3540,205,373
330,1109,3855,444
330,124,1480,46
330,314,21,355
355,2845,941,46
355,3196,1194,35
355,122,279,68
360,1795,167,435
360,115,1078,363
360,733,1246,148
360,2668,110,360
360,258,64,35
362,3505,478,362
362,617,164,363
362,1618,1659,292
362,347,142,363
363,1174,1500,435
363,1796,139,355
363,79,4237,187
363,533,291,444
373,11,1076,42
373,4184,192,68
373,1813,4515,330
373,676,661,225
395,867,1702,116
395,2667,1186,102
395,667,933,444
395,359,3636,355
398,2181,95,46
398,216,69,363
398,3458,1757,398
398,1550,64,42
398,1505,238,355
416,2919,394,46
416,1070,1940,174
416,1019,1864,68
416,2160,3151,183
435,1796,3526,174
444,1074,3191,46
444,4026,1737,416
444,1781,4814,187
444,671,2137,225
