292,3027,203,3224
292,2359,263,1495
330,532,25,24
330,3556,403,2825
355,604,1806,1020
355,2182,683,1248
355,977,782,3199
762,1226,10,4331
1248,1538,93,1248
1248,2008,96,1248
1495,2300,28,3297
1495,2343,250,4331
1507,386,58,762
1507,2193,547,24
1507,1748,2095,2814
1732,1825,1110,24
1732,520,183,3352
2513,189,1293,355
2513,1846,1706,1495
2593,2779,1316,2593
2593,4804,87,4071
2593,1666,87,3034
2768,2268,1678,330
2768,478,693,2825
2768,3643,74,330
2814,8,3256,330
2825,3,2413,4599
2825,1522,414,24
2825,2175,4192,2825
3034,2238,49,4711
3034,441,3049,3034
3224,1698,2898,3224
3297,282,3,1248
3297,4495,633,355
3308,647,119,578
3308,994,39,3352
3352,2415,1198,1970
3505,449,88,1732
3505,240,532,330
3505,0,674,1507
4235,846,841,578
4235,14,212,355
4331,4192,2758,1020
4331,661,2655,1248
4599,2579,119,578
4599,1313,626,355
4711,4054,180,1970
