0,1,2,3
24,2362,1566,319
24,414,777,373
24,3336,666,24
35,311,1142,360
35,268,2343,183
35,2567,61,148
35,4115,82,225
42,1049,1166,319
42,1134,3010,398
42,3325,213,360
46,2407,269,102
46,1410,630,46
68,5027,336,329
68,1843,54,68
68,2594,462,148
102,3796,1033,286
102,352,179,292
102,270,5,102
102,3564,3526,174
116,855,814,46
116,121,45,360
148,3825,779,187
148,2772,977,355
148,665,556,360
150,396,1856,362
150,2897,499,292
150,1103,5,102
150,2289,2362,24
174,408,2323,330
174,4693,3170,360
174,992,284,363
183,1714,518,42
183,751,981,42
183,1355,106,355
187,3604,3348,363
187,615,1493,24
187,1938,543,150
204,15,61,35
204,1629,1501,68
204,1475,2411,187
204,996,867,150
225,186,374,150
225,344,635,24
225,1787,2032,225
286,3477,36,330
286,1513,3796,102
286,1513,1232,46
286,4962,828,435
292,554,1856,362
315,2170,4011,373
315,3079,120,42
315,4678,1779,315
315,1147,1088,315
319,1585,1349,319
319,1092,817,319
319,4080,2672,319
329,794,1576,330
329,23,181,204
329,149,1500,435
330,4350,74,395
330,4686,2917,395
330,283,2,174
355,779,3268,355
355,2524,4326,116
355,1213,3912,42
360,92,1,360
360,2961,1659,292
362,385,1382,292
362,709,943,24
362,1306,424,116
363,61,3281,286
363,3195,117,373
363,2722,1160,174
373,2114,202,395
373,3068,274,183
373,3057,1789,24
373,4340,534,35
395,4436,17,373
395,4846,401,42
398,1548,597,398
398,887,2337,204
398,4926,967,398
398,67,2079,24
416,2993,1,42
416,351,179,444
416,8,250,360
435,1631,281,68
435,48,229,150
435,2845,3825,435
435,572,1174,363
444,399,213,360
444,3949,4946,444
