31,1341,1261,1341,242
31,1341,31,1341,242
31,1341,31,1341,1261
76,1369,1192,1369,76
76,1369,1192,1369,168
76,1369,76,1369,76
168,1369,898,1369,669
168,1369,898,1369,669
168,1369,898,1369,669
242,1341,242,1341,31
242,1341,538,1341,242
242,1341,31,1341,1217
261,683,831,683,261
261,683,261,683,261
261,683,345,683,261
345,683,261,683,831
345,683,345,683,831
345,683,345,683,261
538,1341,538,1341,1217
538,1341,538,1341,1217
538,1341,31,1341,1261
541,683,541,683,345
541,683,345,683,541
541,683,261,683,541
669,1369,168,1369,898
669,1369,168,1369,669
669,1369,669,1369,76
831,683,831,683,261
831,683,831,683,345
831,683,261,683,541
898,1369,168,1369,1192
898,1369,168,1369,898
898,1369,168,1369,168
1192,1369,76,1369,669
1192,1369,898,1369,76
1192,1369,168,1369,669
1217,1341,31,1341,31
1217,1341,242,1341,538
1217,1341,1217,1341,31
1231,683,1231,683,261
1231,683,831,683,541
1231,683,831,683,831
1261,1341,31,1341,1261
1261,1341,538,1341,242
1261,1341,538,1341,538
